Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.005037783375314861
21,0,0.013853904282115869
22,0,0.022670025188916875
23,0,0.03400503778337532
24,0,0.04408060453400504
25,0,0.05163727959697733
26,0,0.060453400503778336
27,0,0.06801007556675064
28,0,0.07178841309823678
29,0,0.07808564231738035
30,0,0.08438287153652393
31,0,0.08942065491183879
32,0,0.09445843828715365
33,0,0.10201511335012595
34,0,0.10831234256926953
35,0,0.11335012594458438
36,0,0.11460957178841309
37,0,0.11335012594458438
38,0,0.11838790931989925
39,0,0.12468513853904283
40,0,0.14357682619647355
41,0,0.15239294710327456
42,0,0.1574307304785894
43,0,0.16120906801007556
44,0,0.15869017632241814
45,0,0.14609571788413098
46,0,0.13602015113350127
47,0,0.12846347607052896
48,0,0.11964735516372796
49,0,0.11083123425692695
50,0,0.10453400503778337
51,0,0.09697732997481108
52,0,0.0906801007556675
53,0,0.08690176322418136
54,0,0.0818639798488665
55,0,0.07934508816120907
56,0,0.07682619647355164
57,0,0.07178841309823678
58,0,0.06423173803526448
59,0,0.0654911838790932
60,0,0.05919395465994962
61,0,0.05667506297229219
62,0,0.05289672544080604
63,0,0.05037783375314862
64,0,0.04785894206549118
65,0,0.04534005037783375
66,0,0.041561712846347604
67,0,0.036523929471032744
68,0,0.037783375314861464
69,0,0.03400503778337532
70,0,0.0327455919395466
71,0,0.030226700251889168
72,0,0.030226700251889168
73,0,0.030226700251889168
74,0,0.03400503778337532
75,0,0.03526448362720403
76,0,0.036523929471032744
77,0,0.036523929471032744
78,0,0.036523929471032744
79,0,0.036523929471032744
80,0,0.03400503778337532
81,0,0.036523929471032744
82,0,0.03400503778337532
83,0,0.0327455919395466
84,0,0.030226700251889168
85,0,0.030226700251889168
86,0,0.027707808564231738
87,0,0.031486146095717885
88,0,0.02644836272040302
89,0,0.027707808564231738
90,0,0.02644836272040302
91,0,0.027707808564231738
92,0,0.02518891687657431
93,0,0.02518891687657431
94,0,0.02392947103274559
95,0,0.02392947103274559
96,0,0.02392947103274559
97,0,0.02392947103274559
98,0,0.02644836272040302
99,0,0.031486146095717885
100,0,0.028967254408060455
101,0,0.028967254408060455
102,0,0.02518891687657431
103,0,0.02392947103274559
104,0,0.02392947103274559
105,0,0.02644836272040302
106,0,0.027707808564231738
107,0,0.027707808564231738
108,0,0.027707808564231738
109,0,0.028967254408060455
110,0,0.028967254408060455
111,0,0.027707808564231738
112,0,0.02518891687657431
113,0,0.02392947103274559
114,0,0.02518891687657431
115,0,0.022670025188916875
116,0,0.027707808564231738
117,0,0.02518891687657431
118,0,0.021410579345088162
119,0,0.02518891687657431
120,0,0.028967254408060455
121,0,0.030226700251889168
122,0,0.028967254408060455
123,0,0.027707808564231738
124,0,0.02644836272040302
125,0,0.030226700251889168
126,0,0.030226700251889168
127,0,0.027707808564231738
128,0,0.030226700251889168
129,0,0.03400503778337532
130,0,0.03904282115869018
131,0,0.041561712846347604
132,0,0.04534005037783375
133,0,0.04534005037783375
134,0,0.04659949622166247
135,0,0.0491183879093199
136,0,0.04785894206549118
137,0,0.05667506297229219
138,0,0.05289672544080604
139,0,0.0491183879093199
140,0,0.0491183879093199
141,0,0.05037783375314862
142,0,0.04659949622166247
143,0,0.04659949622166247
144,0,0.042821158690176324
145,0,0.041561712846347604
146,0,0.042821158690176324
147,0,0.042821158690176324
148,0,0.042821158690176324
149,0,0.03904282115869018
0,1,0.0
1,1,0.0
2,1,0.0
